Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Matthew Stafford ,QB,"$61,500,000 ",LAR,Los Angeles Rams,NFC West
2022,Josh Allen ,QB,"$46,961,405 ",BUF,Buffalo Bills,AFC East
2022,Deshaun Watson ,QB,"$45,655,000 ",CLE,Cleveland Browns,AFC North
2022,Aaron Rodgers ,QB,"$42,000,000 ",GB,Green Bay Packers,NFC North
2022,Kirk Cousins ,QB,"$40,000,000 ",MIN,Minnesota Vikings,NFC North
2022,Aaron Donald ,DT,"$31,500,000 ",LAR,Los Angeles Rams,NFC West
2022,Jaire Alexander ,CB,"$31,076,000 ",GB,Green Bay Packers,NFC North
2022,D.K. Metcalf ,WR,"$31,000,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Kyler Murray ,QB,"$30,000,000 ",ARI,Arizona Cardinals,NFC West
2022,Tom Brady ,QB,"$30,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Cooper Kupp ,WR,"$30,000,000 ",LAR,Los Angeles Rams,NFC West
2022,Terry McLaurin ,WR,"$29,479,000 ",WAS,Washington Commanders,NFC East
2022,Patrick Mahomes ,QB,"$29,450,000 ",KC,Kansas City Chiefs,AFC West
2022,Ryan Tannehill ,QB,"$29,000,000 ",TEN,Tennessee Titans,AFC South
2022,Carson Wentz ,QB,"$28,294,119 ",WAS,Washington Commanders,NFC East
2022,Mike Williams ,WR,"$28,000,000 ",LAC,Los Angeles Chargers,AFC West
2022,J.C. Jackson ,CB,"$28,000,000 ",LAC,Los Angeles Chargers,AFC West
2022,Tyreek Hill ,WR,"$26,635,000 ",MIA,Miami Dolphins,AFC East
2022,Jared Goff ,QB,"$26,150,000 ",DET,Detroit Lions,NFC North
2022,Jimmy Garoppolo ,QB,"$25,600,000 ",SF,San Francisco 49ers,NFC West
2022,Travon Walker ,OLB,"$25,065,088 ",JAC,Jacksonville Jaguars,AFC South
2022,Deebo Samuel ,WR,"$25,000,000 ",SF,San Francisco 49ers,NFC West
2022,Derek Carr ,QB,"$24,977,519 ",LV,Los Angeles Rams,AFC West
2022,Matt Ryan ,QB,"$24,705,882 ",IND,Indianapolis Colts,AFC South
2022,Stefon Diggs ,WR,"$24,580,000 ",BUF,Buffalo Bills,AFC East
2022,A.J. Brown ,WR,"$24,220,000 ",PHI,Philadelphia Eagles,NFC East
2022,Marshon Lattimore ,CB,"$24,103,000 ",NO,New Orleans Saints,NFC South
2022,Russell Wilson ,QB,"$24,000,000 ",DEN,Denver Broncos,AFC West
2022,T.J. Watt ,OLB,"$24,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Aidan Hutchinson ,DE,"$23,858,372 ",DET,Detroit Lions,NFC North
2022,Davante Adams ,WR,"$23,350,000 ",LV,Los Angeles Rams,AFC West
2022,Derek Stingley Jr. ,CB,"$23,090,464 ",HOU,Houston Texans,AFC South
2022,Lamar Jackson ,QB,"$23,016,000 ",BAL,Baltimore Ravens,AFC North
2022,Christian Kirk ,WR,"$22,500,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Chris Jones ,DT,"$22,374,000 ",KC,Kansas City Chiefs,AFC West
2022,Ahmad Gardner ,CB,"$22,212,856 ",NYJ,New York Jets,AFC East
2022,Minkah Fitzpatrick ,S,"$22,124,235 ",PIT,Pittsburgh Steelers,AFC North
2022,Joey Bosa ,OLB,"$21,250,000 ",LAC,Los Angeles Chargers,AFC West
2022,Denzel Ward ,CB,"$21,035,000 ",CLE,Cleveland Browns,AFC North
2022,Frank Ragnow ,C,"$20,751,529 ",DET,Detroit Lions,NFC North
2022,D.J. Moore ,WR,"$20,735,000 ",CAR,Carolina Panthers,NFC South
2022,Kayvon Thibodeaux ,DE,"$20,677,028 ",NYG,New  York Giants,NFC East
2022,Harold Landry ,OLB,"$20,250,000 ",TEN,Tennessee Titans,AFC South
2022,Amari Cooper ,WR,"$20,000,000 ",CLE,Cleveland Browns,AFC North
2022,Dak Prescott ,QB,"$20,000,000 ",DAL,Dallas Cowboys,NFC East
2022,Chris Godwin ,WR,"$20,000,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Von Miller ,OLB,"$19,970,000 ",BUF,Buffalo Bills,AFC East
2022,Danielle Hunter ,DE,"$19,718,750 ",MIN,Minnesota Vikings,NFC North
2022,Ryan Ramczyk ,RT,"$19,241,608 ",NO,New Orleans Saints,NFC South
2022,Leonard Williams ,DE,"$19,000,000 ",NYG,New  York Giants,NFC East
2022,Mark Andrews ,TE,"$19,000,000 ",BAL,Baltimore Ravens,AFC North
2022,Myles Garrett ,DE,"$19,000,000 ",CLE,Cleveland Browns,AFC North
2022,Diontae Johnson ,WR,"$19,000,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Sam Darnold ,QB,"$18,858,000 ",CAR,Carolina Panthers,NFC South
2022,David Bakhtiari ,LT,"$18,551,836 ",GB,Green Bay Packers,NFC North
2022,Brandin Cooks ,WR,"$18,500,000 ",HOU,Houston Texans,AFC South
2022,Xavien Howard ,CB,"$18,250,000 ",MIA,Miami Dolphins,AFC East
2022,Brian O'Neill ,RT,"$18,000,000 ",MIN,Minnesota Vikings,NFC North
2022,Grady Jarrett ,DT,"$17,970,000 ",ATL,Atlanta Falcons,NFC South
2022,Ikem Ekwonu ,T,"$17,934,492 ",CAR,Carolina Panthers,NFC South
2022,Laremy Tunsil ,LT,"$17,850,000 ",HOU,Houston Texans,AFC South
2022,Brandon Scherff ,G,"$17,764,712 ",JAC,Jacksonville Jaguars,AFC South
2022,Kenny Golladay ,WR,"$17,750,000 ",NYG,New  York Giants,NFC East
2022,Cam Robinson ,LT,"$17,750,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Khalil Mack ,OLB,"$17,750,000 ",LAC,Los Angeles Chargers,AFC West
2022,Chandler Jones ,OLB,"$17,412,000 ",LV,Los Angeles Rams,AFC West
2022,Emmanuel Ogbah ,DE,"$17,350,000 ",MIA,Miami Dolphins,AFC East
2022,Garett Bolles ,LT,"$17,000,000 ",DEN,Denver Broncos,AFC West
2022,Maxx Crosby ,DE,"$16,882,000 ",LV,Los Angeles Rams,AFC West
2022,Kolton Miller ,LT,"$16,825,000 ",LV,Los Angeles Rams,AFC West
2022,Orlando Brown Jr. ,T,"$16,662,000 ",KC,Kansas City Chiefs,AFC West
2022,Keenan Allen ,WR,"$16,500,000 ",LAC,Los Angeles Chargers,AFC West
2022,Darius Slay ,CB,"$16,500,000 ",PHI,Philadelphia Eagles,NFC East
2022,Leonard Floyd ,OLB,"$16,500,000 ",LAR,Los Angeles Rams,NFC West
