POSITION,2013-2014 %Change,2014-2015 %Change,2015-2016 %Change,2016-2017 %Change,2017-2018 %Change,2018-2019 %Change,2019-2020 %Change,2020-2021 %Change,2021-2022 %Change,2013-2022 %Change
C,12.76,-7.33,14.65,11.85,39.46,6.98,0.81,-14.87,5.7,81.34
CB,12.89,7.63,17.88,0.34,7.08,4.67,17.13,-7.76,13.36,97.3
DE,7.16,5.92,3.74,16.01,2.9,26.39,4.36,-13.86,4.22,66.43
DT,9.28,29.27,5.51,7.63,10.41,-3.75,28.8,-12.36,12.61,116.68
FB,-5.35,-11.29,-27.2,30.27,-16.58,13.76,30.48,-29.23,66.49,16.18
FS,93.34,3.78,37.62,-18.71,-11.92,26.46,13.16,-16.34,-19.67,90.14
G,-12.87,8.34,3.76,26.69,13.74,5.11,-4.84,-14.03,6.82,29.64
ILB,26.47,-6.6,1.78,-7.38,26.27,21.61,24.86,-29.53,-25.06,12.76
K,10.72,8.62,-4.76,1.59,30.09,10.02,-3.16,-18.43,46.16,92.28
LS,-37.68,46.2,-22.47,7.02,4.31,5.65,-58.49,82.16,-27.22,-54.14
LT,16.3,-1.93,23.94,-5.51,9.9,-9.87,77.56,-11.73,-19.31,67.34
OLB,2.06,17.8,0.33,7.94,-1.35,-9.7,3.32,21.38,7.64,56.56
P,0.99,3.6,19.72,-4.54,-13.56,-5.25,11.13,2.83,-12.97,-2.62
QB,11.31,21.77,12.18,-4.44,26.46,1.97,7.59,-11.11,14.4,105.01
RB,3.32,14.98,-9.31,21.82,2.1,-22.56,73.98,-26.77,8.73,43.75
RT,-8.48,22.49,22.62,4.88,-3.57,34.36,5.62,16.5,-37.78,43
S,-43.79,-91.15,180.65,318.84,-1.14,67.49,-42.83,146.41,220.73,337.35
SS,-18.69,11.45,2.16,58.93,-3.66,-13.53,5.09,-24.66,-22.16,-24.45
TE,11.32,13.35,17.75,0.16,3.54,2.45,8.24,12.16,-1.36,89.04
WR,10.53,16.36,-5.01,21.55,8.49,10.1,-0.67,-1.04,44.53,152
,#REF!,,,,,,,,,
