Name,Team,POS,Salary
Aaron Rodgers,GB,QB,"$66,900,000"
Jimmy Garoppolo,SF,QB,"$41,950,000"
Khalil Mack,CHI,OLB,"$41,000,000"
Aaron Donald,LAR,DT,"$40,892,000"
Alex Smith,WAS,QB,"$40,000,000"
Matt Ryan,ATL,QB,"$29,250,000"
Drew Brees,NO,QB,"$27,000,000"
Kirk Cousins,MIN,QB,"$26,000,000"
Trumaine Johnson,NYJ,CB,"$26,000,000"
Geno Atkins,CIN,DT,"$25,500,000"
Derek Carr,OAK,QB,"$22,500,000"
Baker Mayfield,CLE,QB,"$22,329,440"
Nate Solder,NYG,LT,"$22,000,000"
Zack Martin,DAL,G,"$22,000,000"
Todd Gurley,LAR,RB,"$21,950,000"
Sammy Watkins,KC,WR,"$21,800,000"
Jarvis Landry,CLE,WR,"$21,500,000"
"Odell Beckham, Jr.",NYG,WR,"$21,459,000"
Saquon Barkley,NYG,RB,"$21,247,092"
Sam Darnold,NYJ,QB,"$20,558,338"
Kyle Fuller,CHI,CB,"$20,000,000"
Blake Bortles,JAC,QB,"$20,000,000"
Carlos Dunlap,CIN,DE,"$19,800,000"
Denzel Ward,CLE,CB,"$19,771,168"
Jake Matthews,ATL,LT,"$19,446,000"
Von Miller,DEN,OLB,"$19,427,315"
Eric Berry,KC,SS,"$19,000,000"
Kawann Short,CAR,DT,"$19,000,000"
Taylor Lewan,TEN,LT,"$18,982,352"
Bradley Chubb,DEN,OLB,"$18,426,124"
Mike Evans,TB,WR,"$18,258,000"
Case Keenum,DEN,QB,"$18,023,476"
Andrew Luck,IND,QB,"$18,000,000"
Ryan Tannehill,MIA,QB,"$17,500,000"
Danielle Hunter,MIN,DE,"$17,407,000"
Ezekiel Ansah,DET,DE,"$17,143,000"
DeMarcus Lawrence,DAL,DE,"$17,143,000"
Star Lotulelei,BUF,DT,"$17,100,000"
Ben Roethlisberger,PIT,QB,"$17,000,000"
Andrew Norwell,JAC,G,"$17,000,000"
Weston Richburg,SF,C,"$16,975,000"
Stefon Diggs,MIN,WR,"$16,907,000"
Antonio Brown,PIT,WR,"$16,775,000"
Matthew Stafford,DET,QB,"$16,500,000"
Eli Manning,NYG,QB,"$16,000,000"
Tyrod Taylor,CLE,QB,"$16,000,000"
Quenton Nelson,IND,G,"$15,933,750"
