Name,Team,POS,Salary
Matt Ryan,ATL,QB,"$44,764,610"
Ben Roethlisberger,PIT,QB,"$40,000,000"
Russell Wilson,SEA,QB,"$35,000,000"
Matthew Stafford,DET,QB,"$32,700,000"
DeMarcus Lawrence,DAL,DE,"$31,116,747"
Nick Foles,JAC,QB,"$30,500,000"
Trey Flowers,DET,DE,"$28,875,000"
Kirk Cousins,MIN,QB,"$28,000,000"
Brandin Cooks,LAR,WR,"$27,459,000"
Julio Jones,ATL,WR,"$26,516,985"
Jared Goff,LAR,QB,"$26,000,000"
Grady Jarrett,ATL,DT,"$24,518,433"
Kyler Murray,ARI,QB,"$24,119,294"
Tom Brady,NE,QB,"$23,000,000"
Drew Brees,NO,QB,"$23,000,000"
Nick Bosa,SF,DE,"$22,916,356"
Za'Darius Smith,GB,OLB,"$22,250,000"
Earl Thomas,BAL,FS,"$22,028,442"
Clelin Ferrell,OAK,DE,"$21,322,864"
Marcus Mariota,TEN,QB,"$20,922,000"
Jameis Winston,TB,QB,"$20,922,000"
Dee Ford,SF,DE,"$20,765,625"
Derek Carr,OAK,QB,"$20,000,000"
Mike Evans,TB,WR,"$20,000,000"
Devin White,TB,LB,"$19,835,592"
Mitch Morse,BUF,C,"$19,520,515"
C.J. Mosley,NYJ,ILB,"$19,000,000"
Jimmy Garoppolo,SF,QB,"$18,600,000"
Joe Flacco,DEN,QB,"$18,500,000"
Preston Smith,GB,OLB,"$18,000,000"
Frank Clark,KC,DE,"$17,800,000"
Von Miller,DEN,OLB,"$17,500,000"
Daniel Jones,NYG,QB,"$17,179,768"
Carson Wentz,PHI,QB,"$17,087,683"
"Odell Beckham, Jr.",CLE,WR,"$17,013,388"
Melvin Ingram,LAC,DE,"$17,000,000"
Cameron Jordan,NO,DE,"$17,000,000"
Eli Manning,NYG,QB,"$17,000,000"
Ja'Wuan James,DEN,RT,"$17,000,000"
Quinnen Williams,NYJ,DT,"$16,753,293"
Cam Newton,CAR,QB,"$16,701,357"
Chandler Jones,ARI,OLB,"$16,514,955"
Bobby Wagner,SEA,ILB,"$16,500,000"
Andy Dalton,CIN,QB,"$16,212,043"
Anthony Barr,MIN,OLB,"$16,000,000"
Philip Rivers,LAC,QB,"$16,000,000"
Landon Collins,WAS,SS,"$15,825,000"
Tyrann Mathieu,KC,FS,"$15,800,000"
Fletcher Cox,PHI,DT,"$15,600,000"
Shaq Thompson,CAR,OLB,"$15,547,701"
Jake Matthews,ATL,LT,"$15,535,224"
Khalil Mack,CHI,OLB,"$15,518,121"
Olivier Vernon,CLE,DE,"$15,507,952"
Jordan Hicks,ARI,ILB,"$15,438,869"
Joe Haden,PIT,CB,"$15,400,000"
Aaron Rodgers,GB,QB,"$15,320,000"
Xavien Howard,MIA,CB,"$15,285,641"
Trenton Brown,OAK,RT,"$15,250,000"
Josh Allen,JAC,DE,"$15,055,100"
Alex Smith,WAS,QB,"$15,000,000"
Calais Campbell,JAC,DE,"$15,000,000"
Le'Veon Bell,NYJ,RB,"$14,968,750"
Jacoby Brissett,IND,QB,"$14,907,500"
DeVante Parker,MIA,WR,"$14,500,000"
Golden Tate,NYG,WR,"$14,358,823"
Kwon Alexander,SF,ILB,"$14,292,000"
Adam Thielen,MIN,WR,"$14,273,750"
Jerry Hughes,BUF,DE,"$14,263,513"
Adrian Amos,GB,FS,"$14,150,000"
Lane Johnson,PHI,RT,"$14,100,705"
LaMarcus Joyner,OAK,FS,"$14,050,000"
Allen Robinson,CHI,WR,"$14,015,378"
Justin Houston,IND,DE,"$14,000,000"
Amari Cooper,DAL,WR,"$13,939,062"
Whitney Mercilus,HOU,OLB,"$13,750,000"
Brandon Graham,PHI,DE,"$13,500,000"
Rodger Saffold,TEN,G,"$13,500,000"
Deion Jones,ATL,ILB,"$13,497,930"
A.J. Bouye,JAC,CB,"$13,437,500"
Marcus Peters,BAL,CB,"$13,394,271"
Myles Jack,JAC,ILB,"$13,313,787"
Joe Staley,SF,LT,"$13,218,750"
Reshad Jones,MIA,SS,"$13,146,250"
Russell Okung,LAC,LT,"$13,031,250"
Sheldon Richardson,CLE,DT,"$13,019,253"
Darius Slay,DET,CB,"$13,018,750"
Kawann Short,CAR,DE,"$13,002,644"
T.Y. Hilton,IND,WR,"$13,000,000"
J.J. Watt,HOU,DE,"$13,000,000"
Andrew Norwell,JAC,G,"$13,000,000"
Nate Solder,NYG,LT,"$13,000,000"
T.J. Hockenson,DET,TE,"$12,930,436"
Richard Sherman,SF,CB,"$12,925,000"
Maurkice Pouncey,PIT,C,"$12,882,352"
Ed Oliver,BUF,DT,"$12,865,503"
Vic Beasley,ATL,DE,"$12,823,934"
Jarvis Landry,CLE,WR,"$12,566,078"
Mitchell Schwartz,KC,RT,"$12,530,000"
Brandon Scherff,WAS,G,"$12,525,000"
DeAndre Hopkins,HOU,WR,"$12,500,000"
Adam Humphries,TEN,WR,"$12,375,000"
J.C. Tretter,CLE,C,"$12,277,717"
Devin Bush,PIT,ILB,"$12,239,920"
Sammy Watkins,KC,WR,"$12,200,000"
A.J. Green,CIN,WR,"$12,176,000"
Chris Harris,DEN,CB,"$12,050,000"
Geno Atkins,CIN,DT,"$12,012,291"
Dante Fowler Jr.,LAR,OLB,"$12,000,000"
Kareem Jackson,DEN,SS,"$12,000,000"
Terron Armstead,NO,LT,"$11,768,750"
Larry Fitzgerald,ARI,WR,"$11,766,473"
Tyron Smith,DAL,LT,"$11,760,137"
Alshon Jeffery,PHI,WR,"$11,750,000"
Michael Thomas,NO,WR,"$11,648,043"
Matt Paradis,CAR,C,"$11,559,114"
Andrew Whitworth,LAR,LT,"$11,500,000"
Cole Beasley,BUF,WR,"$11,395,717"
Tyler Boyd,CIN,WR,"$11,365,615"
Jonah Williams,CIN,T,"$11,336,940"
Josh Norman,WAS,CB,"$11,237,500"
Nick Martin,HOU,C,"$11,101,132"
Taylor Lewan,TEN,LT,"$11,088,235"
Jurrell Casey,TEN,DT,"$11,087,500"
Kevin Byard,TEN,FS,"$11,025,000"
David Bakhtiari,GB,LT,"$11,000,000"
Xavier Rhodes,MIN,CB,"$11,000,000"
Billy Turner,GB,G,"$11,000,000"
Justin Coleman,DET,CB,"$11,000,000"
Julian Edelman,NE,WR,"$11,000,000"
Tavon Young,BAL,CB,"$11,000,000"
Malcolm Butler,TEN,CB,"$10,881,250"
